place,placeLabel,geonames_ids
http://www.wikidata.org/entity/Q1035787,Cardrona River,3
http://www.wikidata.org/entity/Q2068304,Pelorus Sound / Te Hoiere,3
http://www.wikidata.org/entity/Q1143464,Kaingaroa Forest,3
http://www.wikidata.org/entity/Q4795582,Aropaoanui River,3
http://www.wikidata.org/entity/Q6347299,Kahutara River,3
http://www.wikidata.org/entity/Q1363130,Great Barrier Island,3
http://www.wikidata.org/entity/Q1454313,The Remarkables,3
http://www.wikidata.org/entity/Q5286971,Dobson River,3
http://www.wikidata.org/entity/Q5300194,Doubtful River,3
http://www.wikidata.org/entity/Q6791965,Matukituki River,3
http://www.wikidata.org/entity/Q6890246,Moeraki River,3
http://www.wikidata.org/entity/Q6895392,Mokoreta River,3
http://www.wikidata.org/entity/Q6435024,Kowhai River,3
http://www.wikidata.org/entity/Q1544338,North Head,3
http://www.wikidata.org/entity/Q1721437,Kaimai Range,3
http://www.wikidata.org/entity/Q6443806,Kumeū River,3
http://www.wikidata.org/entity/Q5491709,Franklin Mountains,3
http://www.wikidata.org/entity/Q5568268,Glencoe River,3
http://www.wikidata.org/entity/Q5586237,Gorge River,3
http://www.wikidata.org/entity/Q5643589,Halswell River,3
http://www.wikidata.org/entity/Q5727563,Henry River,3
http://www.wikidata.org/entity/Q5760699,Hikuwai River,3
http://www.wikidata.org/entity/Q7011237,New River/Kaimata,3
http://www.wikidata.org/entity/Q7022138,Ngatiawa River,3
http://www.wikidata.org/entity/Q7022703,Ngunguru River,3
http://www.wikidata.org/entity/Q7258987,Puhi Puhi River,3
http://www.wikidata.org/entity/Q7259883,Punakitere River,3
http://www.wikidata.org/entity/Q7260144,Pungapunga River,3
http://www.wikidata.org/entity/Q6734127,Mahitahi River,3
http://www.wikidata.org/entity/Q6735003,Mahurangi River,3
http://www.wikidata.org/entity/Q6738603,Makahu River,3
http://www.wikidata.org/entity/Q7960476,Waitawheta River,3
http://www.wikidata.org/entity/Q7960670,Waiwawa River,3
http://www.wikidata.org/entity/Q7080632,Ōhau River,3
http://www.wikidata.org/entity/Q7080633,Ōhau River,3
http://www.wikidata.org/entity/Q7080675,Ohinemuri River,3
http://www.wikidata.org/entity/Q7089567,Omanawa River,3
http://www.wikidata.org/entity/Q6748752,Mangamuka River,3
http://www.wikidata.org/entity/Q6748815,Mangaotaki River,3
http://www.wikidata.org/entity/Q6748820,Mangapapa River,3
http://www.wikidata.org/entity/Q6748862,Mangawai River,3
http://www.wikidata.org/entity/Q41455,Snares Islands/Tini Heke,3
http://www.wikidata.org/entity/Q125768,Spenser Mountains,3
http://www.wikidata.org/entity/Q5055025,Cavendish River,3
http://www.wikidata.org/entity/Q7688862,Tauraroa River,3
http://www.wikidata.org/entity/Q7990648,Wharekawa River,3
http://www.wikidata.org/entity/Q7990649,Wharekōpae River,3
http://www.wikidata.org/entity/Q8081589,Ōkārito River,3
http://www.wikidata.org/entity/Q13560132,Heaphy River,3
http://www.wikidata.org/entity/Q16901294,Tauanui River,3
http://www.wikidata.org/entity/Q16903169,Whangaparāoa River,3
http://www.wikidata.org/entity/Q15224151,Hinds River,3
http://www.wikidata.org/entity/Q15225899,Hōteo River,3
http://www.wikidata.org/entity/Q15232597,Kaiwara River,3
http://www.wikidata.org/entity/Q15263237,Oaro River,3
http://www.wikidata.org/entity/Q31458688,Raepahu Ridge,3
http://www.wikidata.org/entity/Q31466218,Maunga Kākaramea,3
http://www.wikidata.org/entity/Q31459753,Moturoa,3
http://www.wikidata.org/entity/Q31460007,Pukemoremore,3
http://www.wikidata.org/entity/Q31645232,Sheerdown Peak,3
http://www.wikidata.org/entity/Q6754743,Maramataha River,3
http://www.wikidata.org/entity/Q6772297,Marokopa River,3
http://www.wikidata.org/entity/Q31647364,Granite Knob,3
http://www.wikidata.org/entity/Q30508562,Kohukohunui,3
http://www.wikidata.org/entity/Q30509293,Tangihua,3
http://www.wikidata.org/entity/Q31473082,Manawata,3
http://www.wikidata.org/entity/Q31678537,Mount Hyde,3
http://www.wikidata.org/entity/Q31670974,Richardson Mountains,3
http://www.wikidata.org/entity/Q31681809,Naumann Range,3
http://www.wikidata.org/entity/Q31703553,Cloudy Peak Range,3
http://www.wikidata.org/entity/Q31693066,Mount Horrible,3
http://www.wikidata.org/entity/Q31682131,Murchison Mountains,3
http://www.wikidata.org/entity/Q31704885,Carrick Range,3
http://www.wikidata.org/entity/Q31686705,Goat Hill,3
